"week #","location","site","set","plug #","cover"
2,"near beach","far from mangroves",2,1,51.7833333333333
2,"near beach","far from mangroves",2,2,90.23
2,"near beach","far from mangroves",2,3,96.8066666666667
2,"near beach","far from mangroves",2,4,95.9266666666667
2,"near beach","far from mangroves",2,5,98.6633333333333
2,"near beach","far from mangroves",2,6,25.2
2,"near beach","far from mangroves",3,1,93.0433333333333
2,"near beach","far from mangroves",3,2,384.996666666667
2,"near beach","far from mangroves",3,3,96.33
2,"near beach","far from mangroves",3,4,93.9933333333333
2,"near beach","far from mangroves",3,5,91.9666666666667
2,"near beach","far from mangroves",3,6,96.94
2,"near beach","near mangroves",1,1,26.69
2,"near beach","near mangroves",1,2,24.7
2,"near beach","near mangroves",1,3,15.71
2,"near beach","near mangroves",1,4,31.7333333333333
2,"near beach","near mangroves",1,5,31.2233333333333
2,"near beach","near mangroves",1,6,30.9633333333333
2,"near beach","near mangroves",2,1,10.3733333333333
2,"near beach","near mangroves",2,2,13.68
2,"near beach","near mangroves",2,3,5.69333333333333
2,"near beach","near mangroves",2,4,26.26
2,"near beach","near mangroves",2,5,10.4833333333333
2,"near beach","near mangroves",2,6,16.8966666666667
2,"near beach","near mangroves",3,1,18.3333333333333
2,"near beach","near mangroves",3,2,20.89
2,"near beach","near mangroves",3,3,23.92
2,"near beach","near mangroves",3,4,31.5966666666667
2,"near beach","near mangroves",3,5,14.92
2,"near beach","near mangroves",3,6,40.9266666666667
3,"far beach","far from mangroves",1,1,89.8666666666667
3,"far beach","far from mangroves",1,2,93.2966666666667
3,"far beach","far from mangroves",1,3,83.3733333333333
3,"far beach","far from mangroves",1,4,96.4966666666667
3,"far beach","far from mangroves",1,5,86.33
3,"far beach","far from mangroves",1,6,79.9966666666667
3,"far beach","far from mangroves",2,1,80.89
3,"far beach","far from mangroves",2,2,79.26
3,"far beach","far from mangroves",2,3,84.99
3,"far beach","far from mangroves",2,4,71.5566666666667
3,"far beach","far from mangroves",2,5,81.6533333333333
3,"far beach","far from mangroves",2,6,83.1966666666667
3,"far beach","far from mangroves",3,1,69.6233333333333
3,"far beach","far from mangroves",3,2,79.2966666666667
3,"far beach","far from mangroves",3,3,93.9266666666667
3,"far beach","far from mangroves",3,4,72.6833333333333
3,"far beach","far from mangroves",3,5,96.9666666666667
3,"far beach","far from mangroves",3,6,77.9633333333333
3,"far beach","near mangroves",1,1,9.84
3,"far beach","near mangroves",1,2,21.2466666666667
3,"far beach","near mangroves",1,3,24.0933333333333
3,"far beach","near mangroves",1,4,22.7266666666667
3,"far beach","near mangroves",1,5,25.7433333333333
3,"far beach","near mangroves",1,6,32.0033333333333
3,"far beach","near mangroves",2,1,26.3466666666667
3,"far beach","near mangroves",2,2,20.63
3,"far beach","near mangroves",2,3,53.6633333333333
3,"far beach","near mangroves",2,4,31.7133333333333
3,"far beach","near mangroves",2,5,33.15
3,"far beach","near mangroves",2,6,32.9633333333333
3,"far beach","near mangroves",3,1,25.7433333333333
3,"far beach","near mangroves",3,2,21.6066666666667
3,"far beach","near mangroves",3,3,24.79
3,"far beach","near mangroves",3,4,31.69
3,"far beach","near mangroves",3,5,30.26
3,"far beach","near mangroves",3,6,31.4766666666667
3,"near beach","far from mangroves",1,1,87.8966666666667
3,"near beach","far from mangroves",1,2,86.9966666666667
3,"near beach","far from mangroves",1,3,91.0833333333333
3,"near beach","far from mangroves",1,4,87.7466666666667
3,"near beach","far from mangroves",1,5,84.7666666666667
3,"near beach","far from mangroves",1,6,85.33
3,"near beach","far from mangroves",2,1,97.2966666666667
3,"near beach","far from mangroves",2,2,97.9966666666667
3,"near beach","far from mangroves",2,3,96.7733333333333
3,"near beach","far from mangroves",2,4,96.63
3,"near beach","far from mangroves",2,5,96.5633333333333
3,"near beach","far from mangroves",2,6,96.0166666666667
3,"near beach","far from mangroves",3,1,97.71
3,"near beach","far from mangroves",3,2,96.9966666666667
3,"near beach","far from mangroves",3,3,95.9933333333333
3,"near beach","far from mangroves",3,4,97.3266666666667
3,"near beach","far from mangroves",3,5,97.9833333333333
3,"near beach","far from mangroves",3,6,98.2966666666667
3,"near beach","near mangroves",1,1,14.7266666666667
3,"near beach","near mangroves",1,2,13.7733333333333
3,"near beach","near mangroves",1,3,17.03
3,"near beach","near mangroves",1,4,27.81
3,"near beach","near mangroves",1,5,33.2966666666667
3,"near beach","near mangroves",1,6,30.55
3,"near beach","near mangroves",2,1,30.8466666666667
3,"near beach","near mangroves",2,2,22.41
3,"near beach","near mangroves",2,3,36.9666666666667
3,"near beach","near mangroves",2,4,38.92
3,"near beach","near mangroves",2,5,26.81
3,"near beach","near mangroves",2,6,35.35
3,"near beach","near mangroves",3,1,25.3333333333333
3,"near beach","near mangroves",3,2,24.8166666666667
3,"near beach","near mangroves",3,3,17.92
3,"near beach","near mangroves",3,4,27.6633333333333
3,"near beach","near mangroves",3,5,16.8466666666667
3,"near beach","near mangroves",3,6,29.3266666666667
