SitePlot,mpa_distance,mang,land,inlet,SitePlotNew
TAM3965,982.9275257,1326.24001,312.8484493,617.793752,T3937
TAM3967,989.5528702,1322.898429,324.3157297,635.9125142,T3938
TAM3971,1002.852715,1304.245572,299.1688576,612.087915,T3939
TAM3976,986.7807359,1319.597236,297.4340763,602.4659178,T3940
TAM431,897.6449964,1404.228042,240.2588822,539.5512699,T4321
TAM432,887.1968898,1413.948672,226.4356834,524.5824209,T4322
TAM433,882.2614225,1418.44472,209.8412402,507.4617579,T4323
TAM434,910.1193232,1391.443289,235.7538597,536.9509266,T4324
TAM4512,883.2841613,1418.885892,244.0967919,541.3784593,T4525
TAM4533,898.3000085,1404.884511,256.4257572,555.4972712,T4526
TAM4572,912.5465806,1390.226149,252.6188247,553.7600984,T4527
TAM4590,885.3476736,1418.076381,258.4588696,555.791381,T4528
