pd_AggregateReef,pd_AggregatedPatchReefs,pd_SandwithScatteredCoralandRock,pd_Seagrass,pland_AggregateReef,pland_AggregatedPatchReefs,pland_SandwithScatteredCoralandRock,pland_Seagrass,SitePlot,mpa_distance,mang,land,inlet
31.32613659,62.65227318,62.65227318,62.65227318,0.365651603,18.24258699,67.23990173,6.478889333,M1081,2097.2120410000002,233.3819346,196.5642132,1441.757609
62.73829953,62.73829953,62.73829953,31.36914976,1.802162595,18.8111448,68.51078437,2.420046913,M1082,2116.891487,220.6561649,194.0565454,1463.28668
31.30646161,62.61292323,62.61292323,62.61292323,1.267557383,18.91629554,59.8663926,7.148566861,M1083,2088.029323,249.0454022,214.6975868,1439.40695
62.67733982,62.67733982,62.67733982,62.67733982,2.251943301,19.79309556,60.57384545,4.275262917,M1084,2103.000459,239.1394786,212.4265744,1455.293359
125.5196861,125.5196861,156.8996076,62.75984304,13.66680021,19.73330281,17.1006696,33.81789046,M1253,1427.187997,877.1152809,62.29006592,833.9128132
93.94083987,31.31361329,156.5680665,62.62722658,18.28669332,19.04625928,13.41519132,26.44774415,M1255,1420.26994,881.8138221,43.5102955,813.7106916
125.2401482,62.62007409,156.5501852,62.62007409,17.66788488,19.07263591,14.62425765,27.33554134,M1254,1415.076939,888.0918804,46.50988795,818.131938
93.93011113,31.31003704,156.5501852,62.62007409,15.76633166,19.04408406,15.04111466,32.97738693,M1256,1430.327138,872.5342999,56.85981864,827.3259677
188.2579807,31.37633011,282.386971,31.37633011,3.30758226,39.69098712,8.406294707,35.75393419,M1561,1731.641464,569.0560752,149.7904879,1051.789863
156.523371,31.30467421,250.4373936,31.30467421,3.831001998,41.26177562,8.40422495,31.09334856,M1562,1745.574782,555.1171729,147.0275181,1063.797814
125.2687614,31.31719035,250.5375228,93.95157106,7.916381083,43.81996801,10.42951793,24.0975554,M1563,1744.688059,556.1318175,132.0930984,1055.874999
125.4550666,31.36376666,282.2738999,31.36376666,7.213133509,41.45978721,10.56515273,30.05376959,M1564,1730.108557,570.667943,136.0064953,1043.739376
31.39249792,94.17749377,62.78499584,31.39249792,0.572540937,17.56555594,23.53715791,7.317073171,M1789,2042.438659,326.977777,298.7169321,1426.356316
31.32076823,93.9623047,93.9623047,31.32076823,1.399520165,18.43367988,28.23032103,7.306066491,M1790,2052.32608,313.6143316,286.3931065,1431.649415
31.32076823,93.9623047,62.64153647,31.32076823,1.947903576,19.58185765,35.03941506,7.57454587,M1791,2060.721421,298.4382345,269.9157967,1433.514249
31.37453472,62.74906943,62.74906943,31.37453472,2.471961547,21.20622568,41.13069352,6.454566262,M1792,2075.367127,280.5702426,253.438169,1442.825357
93.95693758,93.95693758,187.9138752,31.31897919,6.31176101,36.72245388,30.57062889,19.14662706,M2873,2067.097637,236.4447252,119.8863658,1367.440147
