"site","plot","timepoint","Avg_rugosity","rugosity_variance"
"M08","69","2021",1.23744872344062,0.00914695273689883
"M08","70","2021",1.03594268355448,0.000455551544638589
"M08","71","2021",1.3108597657409,0.00628305571179994
"M08","72","2021",1.31605005613466,0.0113302254403821
"M10","81","2021",1.07000522818575,0.000773553191957711
"M10","82","2021",1.04248899603309,0.000273005026675029
"M10","83","2021",1.11225883918166,0.00130517122480165
"M10","84","2021",1.05727052694575,0.000608569590682946
"M12","54","2021",1.20569043279616,0.00719435635808072
"M12","56","2021",1.18297684894883,0.00429722669878039
"M15","64","2021",1.16142642412736,0.00193326311870216
"M17","89","2021",1.19615492439035,0.00353471492960001
"M28","74","2021",1.17213151498135,0.00745509305645766
"M38","57","2021",1.08814448998864,0.00678919739056489
"M38","58","2021",1.25019622199597,0.00802947125505049
"M38","59","2021",1.24622223139008,0.00869867310345023
"M38","60","2021",1.28337852191687,0.0185364607444754
"M43","65","2021",1.16469425524998,0.00279804112836267
"M43","66","2021",1.25486613575676,0.0055643242377769
"M43","67","2021",1.18710028828593,0.0187243457796605
"M43","68","2021",1.16571025642667,0.00536520749405254
"M45","85","2021",1.07726116577994,0.000542631206415355
"M45","87","2021",1.05703333693709,0.000380260417807856
"M45","88","2021",1.07450627484648,0.000660572516428901
"M48","50","2021",1.29555533024513,0.0145665262362377
"M48","51","2021",1.23563870110773,0.00790172263887189
"M48","52","2021",1.12762487042465,0.00335513435411113
"M73","77","2021",1.45102729014056,0.0907313164403354
"M73","79","2021",1.27581841746329,0.00540285126563388
"M74","93","2021",1.08611906435014,0.00094836939926539
"M74","94","2021",1.08913080212952,0.001667137208133
"M74","95","2021",1.08671591085619,0.00118169507741412
"M74","96","2021",1.09239448939247,0.000631780761922824
"T01","14","2021",1.17602646687343,0.00407399750013756
"T01","15","2021",1.24106812947744,0.0078796945084019
"T01","16","2021",1.31610583629493,0.0105392948461747
"T04","06","2021",1.37758510015544,0.0119812102708757
"T04","07","2021",1.30814758760886,0.00543552333195658
"T04","08","2021",1.3449221443867,0.0133553340956101
"T20","09","2021",1.32515370354926,0.0111636636066181
"T20","10","2021",1.27999185408403,0.00680005445135519
"T20","11","2021",1.187715183402,0.00386203232052845
"T20","12","2021",1.24203910745414,0.00676325218697725
"T22","33","2021",1.31664374580971,0.0176502140189493
"T22","34","2021",1.31701468883235,0.00868269497491449
"T22","35","2021",1.25506721300849,0.00950548426450806
"T22","36","2021",1.2694416847016,0.00916334026252798
"T23","45","2021",1.11471241219457,0.00358853257043973
"T23","46","2021",1.03484998534339,0.000659044771160463
"T23","47","2021",1.09593966742444,0.00056050866551637
"T23","48","2021",1.09362893797354,0.00163358992334016
"T24","29","2021",1.4181080146604,0.0108659707191231
"T24","30","2021",1.26539476382713,0.00947807576922998
"T24","31","2021",1.15265543145954,0.00789239137762606
"T24","32","2021",1.3273918206106,0.0108809738825829
"T26","41","2021",1.20565450160031,0.00595552014736837
"T26","42","2021",1.14893202681119,0.00424182171104073
"T26","43","2021",1.17424928359735,0.00736672572623056
"T26","44","2021",1.36822938001158,0.00671128110641029
"T35","01","2021",1.35684708031185,0.0059395666823227
"T35","02","2021",1.4110525681846,0.00723727303447692
"T35","03","2021",1.33871928095913,0.00228117449073545
"T35","04","2021",1.47218921485508,0.014328234951691
"T37","17","2021",1.33953808658236,0.0117865689423964
"T37","18","2021",2.09181801936509,0.151659180028423
"T37","19","2021",1.77582065822573,0.0668199563105188
"T37","20","2021",1.92459010686232,0.123532221983814
"T39","37","2021",1.54262888346967,0.0638023854829594
"T39","38","2021",1.69705208941785,0.045188056281568
"T39","39","2021",1.63926780073238,0.0427858487285231
"T39","40","20211",1.62514317238948,0.0984915870980451
"T43","21","2021",1.92824335630942,0.15506510956869
"T43","22","2021",1.81713932217957,0.093546737406273
"T43","23","2021",2.33381539158094,0.152353357900004
"T43","24","2021",1.76341826763961,0.0288113973840543
"T45","25","2021",2.28558412306421,0.240674289352926
"T45","26","2021",2.27889897987982,0.132392565818569
"T45","27","2021",1.71160836369399,0.115758627401603
"T45","28","2021",1.99450248377587,0.0637186213815573
