site,transect,point,x,y,z
T24-29-2021,0,0,9.430773103,-4.959493149,-5.429981806
T24-29-2021,0,1,9.32299166,-4.951454382,-5.625449077
T24-29-2021,0,2,9.215210218,-4.943415615,-5.950998771
T24-29-2021,0,3,9.107428776,-4.935376848,-5.780532273
T24-29-2021,0,4,8.999647333,-4.927338081,-5.773838248
T24-29-2021,0,5,8.891865891,-4.919299314,-6.258410365
T24-29-2021,0,6,8.784084449,-4.911260547,-6.31247102
T24-29-2021,0,7,8.676303007,-4.90322178,-6.381569347
T24-29-2021,0,8,8.568521564,-4.895183013,-6.389557837
T24-29-2021,0,9,8.460740122,-4.887144246,-6.40146465
T24-29-2021,0,10,8.35295868,-4.879105479,-6.348509753
T24-29-2021,0,11,8.245177237,-4.871066712,-6.327751144
T24-29-2021,0,12,8.137395795,-4.863027945,-6.223423772
T24-29-2021,0,13,8.029614353,-4.854989178,-6.129137281
T24-29-2021,0,14,7.921832911,-4.846950411,-6.129137281
T24-29-2021,0,15,7.814051468,-4.838911644,-6.433244146
T24-29-2021,0,16,7.706270026,-4.830872877,-6.332460834
T24-29-2021,0,17,7.598488584,-4.822834109,-6.344915517
T24-29-2021,0,18,7.490707141,-4.814795342,-6.348731131
T24-29-2021,0,19,7.382925699,-4.806756575,-6.401364623
T24-29-2021,0,20,7.275144257,-4.798717808,-6.505863772
T24-29-2021,0,21,7.167362815,-4.790679041,-6.513222637
T24-29-2021,0,22,7.059581372,-4.782640274,-6.511011227
T24-29-2021,0,23,6.95179993,-4.774601507,-6.495073984
T24-29-2021,0,24,6.844018488,-4.76656274,-6.475560643
T24-29-2021,0,25,6.736237046,-4.758523973,-6.054329496
T24-29-2021,0,26,6.628455603,-4.750485206,-6.021698936
T24-29-2021,0,27,6.520674161,-4.742446439,-5.940635073
T24-29-2021,0,28,6.412892719,-4.734407672,-5.92355887
T24-29-2021,0,29,6.305111276,-4.726368905,-5.897806855
T24-29-2021,0,30,6.197329834,-4.718330138,-5.835060681
T24-29-2021,0,31,6.089548392,-4.710291371,-5.795852658
T24-29-2021,0,32,5.98176695,-4.702252604,-5.778044796
T24-29-2021,0,33,5.873985507,-4.694213837,-5.781224396
T24-29-2021,0,34,5.766204065,-4.68617507,-5.765290994
T24-29-2021,0,35,5.658422623,-4.678136303,-5.31419732
T24-29-2021,0,36,5.55064118,-4.670097536,-5.31419732
T24-29-2021,0,37,5.442859738,-4.662058769,-5.39885442
T24-29-2021,0,38,5.335078296,-4.654020002,-5.603012748
T24-29-2021,0,39,5.227296854,-4.645981235,-5.813354624
T24-29-2021,0,40,5.119515411,-4.637942468,-5.932338475
T24-29-2021,0,41,5.011733969,-4.629903701,-5.930370226
T24-29-2021,0,42,4.903952527,-4.621864934,-5.946483405
T24-29-2021,0,43,4.796171084,-4.613826167,-6.059325415
T24-29-2021,0,44,4.688389642,-4.6057874,-6.060921614
T24-29-2021,0,45,4.5806082,-4.597748633,-6.08655933
