site,transect,point,x,y,z
M43-67-2021,0,0,8.285333762,4.06810773,-3.704606443
M43-67-2021,0,1,8.265650322,3.970064055,-3.712977961
M43-67-2021,0,2,8.245966883,3.87202038,-3.646568738
M43-67-2021,0,3,8.226283444,3.773976705,-3.618074891
M43-67-2021,0,4,8.206600004,3.67593303,-3.755079492
M43-67-2021,0,5,8.186916565,3.577889355,-3.755079492
M43-67-2021,0,6,8.167233125,3.47984568,-3.752255372
M43-67-2021,0,7,8.147549686,3.381802005,-3.752255372
M43-67-2021,0,8,8.127866247,3.28375833,-3.794642089
M43-67-2021,0,9,8.108182807,3.185714655,-3.826435087
M43-67-2021,0,10,8.088499368,3.08767098,-3.837151008
M43-67-2021,0,11,8.068815928,2.989627304,-3.813491476
M43-67-2021,0,12,8.049132489,2.891583629,-3.778364258
M43-67-2021,0,13,8.02944905,2.793539954,-3.761790832
M43-67-2021,0,14,8.00976561,2.695496279,-3.754796844
M43-67-2021,0,15,7.990082171,2.597452604,-3.769873015
M43-67-2021,0,16,7.970398731,2.499408929,-3.803506311
M43-67-2021,0,17,7.950715292,2.401365254,-3.823546342
M43-67-2021,0,18,7.931031852,2.303321579,-3.845302417
M43-67-2021,0,19,7.911348413,2.205277904,-3.832730229
M43-67-2021,0,20,7.891664974,2.107234229,-3.832730229
M43-67-2021,0,21,7.871981534,2.009190554,-3.829440927
M43-67-2021,0,22,7.852298095,1.911146879,-3.829440927
M43-67-2021,0,23,7.832614655,1.813103204,-3.858906613
M43-67-2021,0,24,7.812931216,1.715059529,-3.847837827
M43-67-2021,0,25,7.793247777,1.617015854,-3.839061316
M43-67-2021,0,26,7.773564337,1.518972179,-3.839061316
M43-67-2021,0,27,7.753880898,1.420928504,-3.861617586
M43-67-2021,0,28,7.734197458,1.322884829,-3.933267824
M43-67-2021,0,29,7.714514019,1.224841154,-3.990645675
M43-67-2021,0,30,7.69483058,1.126797479,-4.007517216
M43-67-2021,0,31,7.67514714,1.028753804,-4.005771558
M43-67-2021,0,32,7.655463701,0.930710129,-4.008260532
M43-67-2021,0,33,7.635780261,0.832666454,-3.998513337
M43-67-2021,0,34,7.616096822,0.734622779,-4.011891753
M43-67-2021,0,35,7.596413382,0.636579104,-4.08962876
M43-67-2021,0,36,7.576729943,0.538535429,-4.176574007
M43-67-2021,0,37,7.557046504,0.440491754,-4.150768508
M43-67-2021,0,38,7.537363064,0.342448079,-4.133978179
M43-67-2021,0,39,7.517679625,0.244404404,-4.133978179
M43-67-2021,0,40,7.497996185,0.146360729,-4.186670925
M43-67-2021,0,41,7.478312746,0.048317054,-4.162195591
M43-67-2021,0,42,7.458629307,-0.049726621,-4.14321062
M43-67-2021,0,43,7.438945867,-0.147770296,-4.044018987
M43-67-2021,0,44,7.419262428,-0.245813971,-4.009445773
M43-67-2021,0,45,7.399578988,-0.343857646,-4.012791368
M43-67-2021,0,46,7.379895549,-0.441901321,-4.086872677
M43-67-2021,0,47,7.36021211,-0.539944996,-4.117772374
M43-67-2021,0,48,7.34052867,-0.637988672,-4.243299042
M43-67-2021,0,49,7.320845231,-0.736032347,-4.263384675
M43-67-2021,0,50,7.301161791,-0.834076022,-4.314039011
M43-67-2021,0,51,7.281478352,-0.932119697,-4.376903454
M43-67-2021,0,52,7.261794912,-1.030163372,-4.400921942
M43-67-2021,0,53,7.242111473,-1.128207047,-4.406945059
M43-67-2021,0,54,7.222428034,-1.226250722,-4.394374262
M43-67-2021,0,55,7.202744594,-1.324294397,-4.402699882
M43-67-2021,0,56,7.183061155,-1.422338072,-4.386091092
M43-67-2021,0,57,7.163377715,-1.520381747,-4.381459866
M43-67-2021,0,58,7.143694276,-1.618425422,-4.382633995
M43-67-2021,0,59,7.124010837,-1.716469097,-4.389882783
M43-67-2021,0,60,7.104327397,-1.814512772,-4.363469882
M43-67-2021,0,61,7.084643958,-1.912556447,-4.353724123
M43-67-2021,0,62,7.064960518,-2.010600122,-4.360776863
M43-67-2021,0,63,7.045277079,-2.108643797,-4.348448792
M43-67-2021,0,64,7.02559364,-2.206687472,-4.292317568
M43-67-2021,0,65,7.0059102,-2.304731147,-4.251930107
M43-67-2021,0,66,6.986226761,-2.402774822,-4.268131641
M43-67-2021,0,67,6.966543321,-2.500818497,-4.239282938
M43-67-2021,0,68,6.946859882,-2.598862172,-4.229888475
M43-67-2021,0,69,6.927176443,-2.696905847,-4.225454307
M43-67-2021,0,70,6.907493003,-2.794949522,-4.24949181
M43-67-2021,0,71,6.887809564,-2.892993197,-4.51069329
M43-67-2021,0,72,6.868126124,-2.991036872,-4.506060486
M43-67-2021,0,73,6.848442685,-3.089080547,-4.500855076
M43-67-2021,0,74,6.828759245,-3.187124222,-4.485491513
M43-67-2021,0,75,6.809075806,-3.285167897,-4.432984576
M43-67-2021,0,76,6.789392367,-3.383211572,-4.391001926
M43-67-2021,0,77,6.769708927,-3.481255247,-4.279602999
M43-67-2021,0,78,6.750025488,-3.579298922,-4.248901767
M43-67-2021,0,79,6.730342048,-3.677342597,-4.215089736
M43-67-2021,0,80,6.710658609,-3.775386272,-4.197761443
M43-67-2021,0,81,6.69097517,-3.873429947,-4.196739286
M43-67-2021,0,82,6.67129173,-3.971473622,-4.204698555
M43-67-2021,0,83,6.651608291,-4.069517297,-4.219860443
M43-67-2021,0,84,6.631924851,-4.167560973,-4.180738211
M43-67-2021,0,85,6.612241412,-4.265604648,-4.180738211
M43-67-2021,0,86,6.592557973,-4.363648323,-4.183901255
M43-67-2021,0,87,6.572874533,-4.461691998,-4.182469491
M43-67-2021,0,88,6.553191094,-4.559735673,-4.182469491
M43-67-2021,0,89,6.533507654,-4.657779348,-4.22452536
M43-67-2021,0,90,6.513824215,-4.755823023,-4.231740187
M43-67-2021,0,91,6.494140775,-4.853866698,-4.254197373
