site,transect,point,x,y,z
T23-48-2021,0,0,-2.752675493,8.383549462,-3.295440064
T23-48-2021,0,1,-2.642592559,8.385544473,-3.295440064
T23-48-2021,0,2,-2.532509625,8.387539484,-3.32434383
T23-48-2021,0,3,-2.422426691,8.389534495,-3.32434383
T23-48-2021,0,4,-2.312343757,8.391529506,-3.290234353
T23-48-2021,0,5,-2.202260823,8.393524516,-3.290234353
T23-48-2021,0,6,-2.092177889,8.395519527,-3.336499622
T23-48-2021,0,7,-1.982094955,8.397514538,-3.330797208
T23-48-2021,0,8,-1.872012021,8.399509549,-3.336717315
T23-48-2021,0,9,-1.761929087,8.40150456,-3.390364126
T23-48-2021,0,10,-1.651846153,8.403499571,-3.394756483
T23-48-2021,0,11,-1.541763219,8.405494582,-3.402715108
T23-48-2021,0,12,-1.431680285,8.407489592,-3.418011246
T23-48-2021,0,13,-1.321597351,8.409484603,-3.426883574
T23-48-2021,0,14,-1.211514417,8.411479614,-3.439731969
T23-48-2021,0,15,-1.101431483,8.413474625,-3.423435737
T23-48-2021,0,16,-0.991348549,8.415469636,-3.423435737
T23-48-2021,0,17,-0.881265615,8.417464647,-3.448840092
T23-48-2021,0,18,-0.771182681,8.419459658,-3.462936767
T23-48-2021,0,19,-0.661099747,8.421454668,-3.456469671
T23-48-2021,0,20,-0.551016813,8.423449679,-3.450855729
T23-48-2021,0,21,-0.440933879,8.42544469,-3.430326916
T23-48-2021,0,22,-0.330850945,8.427439701,-3.430326916
T23-48-2021,0,23,-0.220768011,8.429434712,-3.44009416
T23-48-2021,0,24,-0.110685077,8.431429723,-3.436456404
T23-48-2021,0,25,-0.000602143,8.433424734,-3.356963448
T23-48-2021,0,26,0.109480791,8.435419744,-3.196340498
T23-48-2021,0,27,0.219563725,8.437414755,-3.190293017
T23-48-2021,0,28,0.329646659,8.439409766,-3.190293017
T23-48-2021,0,29,0.439729593,8.441404777,-3.336502432
T23-48-2021,0,30,0.549812527,8.443399788,-3.357988769
T23-48-2021,0,31,0.659895461,8.445394799,-3.352222254
T23-48-2021,0,32,0.769978395,8.44738981,-3.364368286
T23-48-2021,0,33,0.880061329,8.44938482,-3.385586905
T23-48-2021,0,34,0.990144263,8.451379831,-3.349579809
T23-48-2021,0,35,1.100227197,8.453374842,-3.346044615
T23-48-2021,0,36,1.210310131,8.455369853,-3.373753915
T23-48-2021,0,37,1.320393065,8.457364864,-3.360925511
T23-48-2021,0,38,1.430475999,8.459359875,-3.290974405
