site,transect,point,x,y,z
M38-58-2021,0,0,4.090397458,-6.655402382,-5.658065867
M38-58-2021,0,1,4.000078398,-6.664616842,-4.72878621
M38-58-2021,0,2,3.909759337,-6.673831302,-5.423887255
M38-58-2021,0,3,3.819440277,-6.683045762,-5.216290418
M38-58-2021,0,4,3.729121216,-6.692260221,-5.17855436
M38-58-2021,0,5,3.638802156,-6.701474681,-4.928895643
M38-58-2021,0,6,3.548483096,-6.710689141,-4.856654111
M38-58-2021,0,7,3.458164035,-6.719903601,-4.856654111
M38-58-2021,0,8,3.367844975,-6.729118061,-4.957787686
M38-58-2021,0,9,3.277525915,-6.73833252,-5.047170007
M38-58-2021,0,10,3.187206854,-6.74754698,-5.047170007
M38-58-2021,0,11,3.096887794,-6.75676144,-5.679418645
M38-58-2021,0,12,3.006568733,-6.7659759,-5.67431479
M38-58-2021,0,13,2.916249673,-6.77519036,-5.668429693
M38-58-2021,0,14,2.825930613,-6.784404819,-5.636037364
M38-58-2021,0,15,2.735611552,-6.793619279,-5.633846987
M38-58-2021,0,16,2.645292492,-6.802833739,-5.648012437
M38-58-2021,0,17,2.554973432,-6.812048199,-5.713239784
M38-58-2021,0,18,2.464654371,-6.821262659,-5.722146567
M38-58-2021,0,19,2.374335311,-6.830477118,-5.722146567
M38-58-2021,0,20,2.284016251,-6.839691578,-5.742084916
M38-58-2021,0,21,2.19369719,-6.848906038,-5.721632001
M38-58-2021,0,22,2.10337813,-6.858120498,-5.718085442
M38-58-2021,0,23,2.013059069,-6.867334958,-5.718085442
M38-58-2021,0,24,1.922740009,-6.876549417,-5.743113991
M38-58-2021,0,25,1.832420949,-6.885763877,-5.760227009
M38-58-2021,0,26,1.742101888,-6.894978337,-5.742862805
M38-58-2021,0,27,1.651782828,-6.904192797,-5.726176405
M38-58-2021,0,28,1.561463768,-6.913407257,-5.692389071
M38-58-2021,0,29,1.471144707,-6.922621716,-5.745192941
M38-58-2021,0,30,1.380825647,-6.931836176,-5.707353826
