site,transect,point,x,y,z
M74-94-2021,0,0,-0.04701561,4.804675102,-5.338690473
M74-94-2021,0,1,-0.016630769,4.699901117,-5.339556885
M74-94-2021,0,2,0.013754072,4.595127132,-5.352556703
M74-94-2021,0,3,0.044138913,4.490353148,-5.348535661
M74-94-2021,0,4,0.074523754,4.385579163,-5.308561837
M74-94-2021,0,5,0.104908595,4.280805178,-5.304886365
M74-94-2021,0,6,0.135293436,4.176031193,-5.304886365
M74-94-2021,0,7,0.165678277,4.071257209,-5.322798145
M74-94-2021,0,8,0.196063118,3.966483224,-5.306654278
M74-94-2021,0,9,0.226447959,3.861709239,-5.306654278
M74-94-2021,0,10,0.2568328,3.756935254,-5.349763401
M74-94-2021,0,11,0.287217641,3.652161269,-5.354634002
M74-94-2021,0,12,0.317602482,3.547387285,-5.354034328
M74-94-2021,0,13,0.347987323,3.4426133,-5.354297735
M74-94-2021,0,14,0.378372164,3.337839315,-5.257561896
M74-94-2021,0,15,0.408757005,3.23306533,-5.214523868
M74-94-2021,0,16,0.439141846,3.128291346,-5.194427258
M74-94-2021,0,17,0.469526687,3.023517361,-5.193373127
M74-94-2021,0,18,0.499911528,2.918743376,-5.193373127
M74-94-2021,0,19,0.530296369,2.813969391,-5.207899308
M74-94-2021,0,20,0.56068121,2.709195407,-5.286067204
M74-94-2021,0,21,0.591066051,2.604421422,-5.292003717
M74-94-2021,0,22,0.621450892,2.499647437,-5.381180462
M74-94-2021,0,23,0.651835733,2.394873452,-5.31875236
M74-94-2021,0,24,0.682220573,2.290099467,-5.299515923
M74-94-2021,0,25,0.712605414,2.185325483,-5.306296324
M74-94-2021,0,26,0.742990255,2.080551498,-5.374407466
M74-94-2021,0,27,0.773375096,1.975777513,-5.393829773
M74-94-2021,0,28,0.803759937,1.871003528,-5.40853286
M74-94-2021,0,29,0.834144778,1.766229544,-5.408196278
M74-94-2021,0,30,0.864529619,1.661455559,-5.407645307
M74-94-2021,0,31,0.89491446,1.556681574,-5.415723149
M74-94-2021,0,32,0.925299301,1.451907589,-5.388046919
M74-94-2021,0,33,0.955684142,1.347133605,-5.387517316
M74-94-2021,0,34,0.986068983,1.24235962,-5.394048574
M74-94-2021,0,35,1.016453824,1.137585635,-5.400267274
M74-94-2021,0,36,1.046838665,1.03281165,-5.379033574
M74-94-2021,0,37,1.077223506,0.928037665,-5.380790455
M74-94-2021,0,38,1.107608347,0.823263681,-5.411891592
M74-94-2021,0,39,1.137993188,0.718489696,-5.415810288
M74-94-2021,0,40,1.168378029,0.613715711,-5.386724524
M74-94-2021,0,41,1.19876287,0.508941726,-5.316553288
M74-94-2021,0,42,1.229147711,0.404167742,-5.28709332
M74-94-2021,0,43,1.259532552,0.299393757,-5.268368394
M74-94-2021,0,44,1.289917393,0.194619772,-5.288171557
M74-94-2021,0,45,1.320302234,0.089845787,-5.357458871
M74-94-2021,0,46,1.350687075,-0.014928197,-5.239950795
M74-94-2021,0,47,1.381071916,-0.119702182,-5.14975059
M74-94-2021,0,48,1.411456757,-0.224476167,-5.127276752
M74-94-2021,0,49,1.441841598,-0.329250152,-5.106795345
M74-94-2021,0,50,1.472226439,-0.434024137,-5.125067619
M74-94-2021,0,51,1.50261128,-0.538798121,-5.366561631
M74-94-2021,0,52,1.532996121,-0.643572106,-5.282625888
M74-94-2021,0,53,1.563380962,-0.748346091,-5.246383456
M74-94-2021,0,54,1.593765803,-0.853120076,-5.245733892
M74-94-2021,0,55,1.624150644,-0.95789406,-5.245649758
M74-94-2021,0,56,1.654535485,-1.062668045,-5.292622085
M74-94-2021,0,57,1.684920326,-1.16744203,-5.330734429
M74-94-2021,0,58,1.715305167,-1.272216015,-5.255171063
M74-94-2021,0,59,1.745690008,-1.376989999,-5.246024294
M74-94-2021,0,60,1.776074849,-1.481763984,-5.196641417
M74-94-2021,0,61,1.80645969,-1.586537969,-5.223603357
M74-94-2021,0,62,1.836844531,-1.691311954,-5.187716819
M74-94-2021,0,63,1.867229372,-1.796085939,-5.187716819
M74-94-2021,0,64,1.897614213,-1.900859923,-5.258083564
M74-94-2021,0,65,1.927999054,-2.005633908,-5.247654519
M74-94-2021,0,66,1.958383895,-2.110407893,-5.245096068
M74-94-2021,0,67,1.988768736,-2.215181878,-5.226102026
M74-94-2021,0,68,2.019153577,-2.319955862,-5.226102026
M74-94-2021,0,69,2.049538418,-2.424729847,-5.205922624
M74-94-2021,0,70,2.079923259,-2.529503832,-5.158834582
M74-94-2021,0,71,2.1103081,-2.634277817,-5.158834582
M74-94-2021,0,72,2.140692941,-2.739051801,-5.199844449
M74-94-2021,0,73,2.171077782,-2.843825786,-5.259187724
M74-94-2021,0,74,2.201462623,-2.948599771,-5.251582137
M74-94-2021,0,75,2.231847464,-3.053373756,-5.25291677
M74-94-2021,0,76,2.262232305,-3.158147741,-5.268485523
M74-94-2021,0,77,2.292617146,-3.262921725,-5.296863828
M74-94-2021,0,78,2.323001987,-3.36769571,-5.296863828
