site,transect,point,x,y,z
M38-57-2021,0,0,9.109971077,-2.524041028,-4.14899046
M38-57-2021,0,1,8.995035455,-2.551550026,-4.171389662
M38-57-2021,0,2,8.880099833,-2.579059024,-4.171206903
M38-57-2021,0,3,8.765164211,-2.606568022,-4.163825887
M38-57-2021,0,4,8.65022859,-2.634077021,-4.154551631
M38-57-2021,0,5,8.535292968,-2.661586019,-4.152195996
M38-57-2021,0,6,8.420357346,-2.689095017,-4.095836241
M38-57-2021,0,7,8.305421724,-2.716604015,-4.085347994
M38-57-2021,0,8,8.190486102,-2.744113013,-4.096799931
M38-57-2021,0,9,8.07555048,-2.771622011,-4.036028383
M38-57-2021,0,10,7.960614858,-2.799131009,-4.035101231
M38-57-2021,0,11,7.845679237,-2.826640007,-4.072992236
M38-57-2021,0,12,7.730743615,-2.854149006,-4.033737173
M38-57-2021,0,13,7.615807993,-2.881658004,-3.994558055
M38-57-2021,0,14,7.500872371,-2.909167002,-3.991751114
M38-57-2021,0,15,7.385936749,-2.936676,-3.931378727
M38-57-2021,0,16,7.271001127,-2.964184998,-3.895969472
M38-57-2021,0,17,7.156065505,-2.991693996,-3.891893713
M38-57-2021,0,18,7.041129884,-3.019202994,-3.891893713
M38-57-2021,0,19,6.926194262,-3.046711992,-3.804805606
M38-57-2021,0,20,6.81125864,-3.074220991,-3.775244304
M38-57-2021,0,21,6.696323018,-3.101729989,-3.775244304
M38-57-2021,0,22,6.581387396,-3.129238987,-3.779010133
M38-57-2021,0,23,6.466451774,-3.156747985,-3.819750425
M38-57-2021,0,24,6.351516152,-3.184256983,-3.736731267
M38-57-2021,0,25,6.236580531,-3.211765981,-3.833999246
M38-57-2021,0,26,6.121644909,-3.239274979,-3.913833646
M38-57-2021,0,27,6.006709287,-3.266783977,-3.872656933
M38-57-2021,0,28,5.891773665,-3.294292976,-3.869956019
M38-57-2021,0,29,5.776838043,-3.321801974,-3.846737157
M38-57-2021,0,30,5.661902421,-3.349310972,-3.812702649
M38-57-2021,0,31,5.5469668,-3.37681997,-3.807927515
M38-57-2021,0,32,5.432031178,-3.404328968,-3.814598654
M38-57-2021,0,33,5.317095556,-3.431837966,-3.806037507
M38-57-2021,0,34,5.202159934,-3.459346964,-3.7909386
M38-57-2021,0,35,5.087224312,-3.486855962,-3.773394712
M38-57-2021,0,36,4.97228869,-3.51436496,-3.764514856
M38-57-2021,0,37,4.857353068,-3.541873959,-3.763329666
M38-57-2021,0,38,4.742417447,-3.569382957,-3.765653713
M38-57-2021,0,39,4.627481825,-3.596891955,-3.730974954
M38-57-2021,0,40,4.512546203,-3.624400953,-3.71041302
M38-57-2021,0,41,4.397610581,-3.651909951,-3.71041302
M38-57-2021,0,42,4.282674959,-3.679418949,-3.711947206
M38-57-2021,0,43,4.167739337,-3.706927947,-3.711947206
M38-57-2021,0,44,4.052803715,-3.734436945,-3.729982322
M38-57-2021,0,45,3.937868094,-3.761945944,-3.734779382
M38-57-2021,0,46,3.822932472,-3.789454942,-3.731641539
M38-57-2021,0,47,3.70799685,-3.81696394,-3.706412082
M38-57-2021,0,48,3.593061228,-3.844472938,-3.681394897
M38-57-2021,0,49,3.478125606,-3.871981936,-3.693200065
M38-57-2021,0,50,3.363189984,-3.899490934,-3.686529306
M38-57-2021,0,51,3.248254362,-3.926999932,-3.675992324
M38-57-2021,0,52,3.133318741,-3.95450893,-3.675992324
M38-57-2021,0,53,3.018383119,-3.982017929,-3.661553959
M38-57-2021,0,54,2.903447497,-4.009526927,-3.654286988
M38-57-2021,0,55,2.788511875,-4.037035925,-3.641045206
M38-57-2021,0,56,2.673576253,-4.064544923,-3.639730658
M38-57-2021,0,57,2.558640631,-4.092053921,-3.636239483
M38-57-2021,0,58,2.443705009,-4.119562919,-3.60248151
M38-57-2021,0,59,2.328769388,-4.147071917,-3.60056665
M38-57-2021,0,60,2.213833766,-4.174580915,-3.494971852
M38-57-2021,0,61,2.098898144,-4.202089914,-3.478963347
M38-57-2021,0,62,1.983962522,-4.229598912,-3.447481169
M38-57-2021,0,63,1.8690269,-4.25710791,-3.492268022
M38-57-2021,0,64,1.754091278,-4.284616908,-3.481292932
M38-57-2021,0,65,1.639155656,-4.312125906,-3.481292932
M38-57-2021,0,66,1.524220035,-4.339634904,-3.496565083
M38-57-2021,0,67,1.409284413,-4.367143902,-3.463737459
M38-57-2021,0,68,1.294348791,-4.3946529,-3.376101872
M38-57-2021,0,69,1.179413169,-4.422161899,-3.376012445
M38-57-2021,0,70,1.064477547,-4.449670897,-3.3799852
M38-57-2021,0,71,0.949541925,-4.477179895,-3.421535233
M38-57-2021,0,72,0.834606303,-4.504688893,-3.417931913
M38-57-2021,0,73,0.719670682,-4.532197891,-3.417931913
M38-57-2021,0,74,0.60473506,-4.559706889,-3.387624792
M38-57-2021,0,75,0.489799438,-4.587215887,-3.363202317
M38-57-2021,0,76,0.374863816,-4.614724885,-3.363202317
M38-57-2021,0,77,0.259928194,-4.642233884,-3.400555226
M38-57-2021,0,78,0.144992572,-4.669742882,-3.400751556
M38-57-2021,0,79,0.030056951,-4.69725188,-3.410171803
M38-57-2021,0,80,-0.084878671,-4.724760878,-3.408884365
