site,transect,point,x,y,z
T23-45-2021,0,0,-3.322107494,5.725523664,-3.733823776
T23-45-2021,0,1,-3.307062329,5.656932094,-3.733823776
T23-45-2021,0,2,-3.292017164,5.588340524,-3.728556516
T23-45-2021,0,3,-3.276971999,5.519748954,-3.715269536
T23-45-2021,0,4,-3.261926834,5.451157384,-3.699000141
T23-45-2021,0,5,-3.246881669,5.382565813,-3.692772557
T23-45-2021,0,6,-3.231836504,5.313974243,-3.692772557
T23-45-2021,0,7,-3.216791339,5.245382673,-3.710379108
T23-45-2021,0,8,-3.201746174,5.176791103,-3.714558102
T23-45-2021,0,9,-3.186701009,5.108199532,-3.710370278
T23-45-2021,0,10,-3.171655844,5.039607962,-3.681133573
T23-45-2021,0,11,-3.156610679,4.971016392,-3.670309847
T23-45-2021,0,12,-3.141565514,4.902424822,-3.629509799
T23-45-2021,0,13,-3.126520349,4.833833252,-3.629509799
T23-45-2021,0,14,-3.111475184,4.765241681,-3.638375816
T23-45-2021,0,15,-3.096430019,4.696650111,-3.653118952
T23-45-2021,0,16,-3.081384854,4.628058541,-3.653250219
T23-45-2021,0,17,-3.066339689,4.559466971,-3.646461041
T23-45-2021,0,18,-3.051294524,4.490875401,-3.645708886
T23-45-2021,0,19,-3.036249359,4.42228383,-3.635153542
T23-45-2021,0,20,-3.021204194,4.35369226,-3.653071969
T23-45-2021,0,21,-3.006159029,4.28510069,-3.683068344
T23-45-2021,0,22,-2.991113864,4.21650912,-3.683437726
T23-45-2021,0,23,-2.976068699,4.14791755,-3.692463466
T23-45-2021,0,24,-2.961023534,4.079325979,-3.640249361
T23-45-2021,0,25,-2.945978369,4.010734409,-3.604236009
T23-45-2021,0,26,-2.930933204,3.942142839,-3.603075914
T23-45-2021,0,27,-2.915888039,3.873551269,-3.603075914
T23-45-2021,0,28,-2.900842874,3.804959699,-3.686801827
T23-45-2021,0,29,-2.885797709,3.736368128,-3.697819043
T23-45-2021,0,30,-2.870752544,3.667776558,-3.69999288
T23-45-2021,0,31,-2.855707379,3.599184988,-3.688621369
T23-45-2021,0,32,-2.840662214,3.530593418,-3.705475179
T23-45-2021,0,33,-2.825617049,3.462001848,-3.69667715
T23-45-2021,0,34,-2.810571884,3.393410277,-3.678297197
T23-45-2021,0,35,-2.795526719,3.324818707,-3.643271224
T23-45-2021,0,36,-2.780481554,3.256227137,-3.568235874
T23-45-2021,0,37,-2.765436389,3.187635567,-3.598613667
T23-45-2021,0,38,-2.750391224,3.119043996,-3.623271581
T23-45-2021,0,39,-2.735346059,3.050452426,-3.572345257
T23-45-2021,0,40,-2.720300893,2.981860856,-3.572345257
T23-45-2021,0,41,-2.705255728,2.913269286,-3.62920419
T23-45-2021,0,42,-2.690210563,2.844677716,-3.641655205
T23-45-2021,0,43,-2.675165398,2.776086145,-3.642858688
T23-45-2021,0,44,-2.660120233,2.707494575,-3.626957611
T23-45-2021,0,45,-2.645075068,2.638903005,-3.641306405
T23-45-2021,0,46,-2.630029903,2.570311435,-3.658516033
T23-45-2021,0,47,-2.614984738,2.501719865,-3.658516033
T23-45-2021,0,48,-2.599939573,2.433128294,-3.666070499
T23-45-2021,0,49,-2.584894408,2.364536724,-3.646565013
T23-45-2021,0,50,-2.569849243,2.295945154,-3.646565013
T23-45-2021,0,51,-2.554804078,2.227353584,-3.696240087
T23-45-2021,0,52,-2.539758913,2.158762014,-3.746444587
T23-45-2021,0,53,-2.524713748,2.090170443,-3.721801877
T23-45-2021,0,54,-2.509668583,2.021578873,-3.722261651
T23-45-2021,0,55,-2.494623418,1.952987303,-3.779548814
T23-45-2021,0,56,-2.479578253,1.884395733,-3.810815961
T23-45-2021,0,57,-2.464533088,1.815804163,-3.824633886
T23-45-2021,0,58,-2.449487923,1.747212592,-3.841000458
T23-45-2021,0,59,-2.434442758,1.678621022,-3.850753116
T23-45-2021,0,60,-2.419397593,1.610029452,-3.858633499
T23-45-2021,0,61,-2.404352428,1.541437882,-3.867948237
T23-45-2021,0,62,-2.389307263,1.472846312,-3.882729406
T23-45-2021,0,63,-2.374262098,1.404254741,-3.865601211
T23-45-2021,0,64,-2.359216933,1.335663171,-3.865601211
T23-45-2021,0,65,-2.344171768,1.267071601,-3.890608357
T23-45-2021,0,66,-2.329126603,1.198480031,-3.926387758
T23-45-2021,0,67,-2.314081438,1.12988846,-3.972464344
T23-45-2021,0,68,-2.299036273,1.06129689,-3.975819592
T23-45-2021,0,69,-2.283991108,0.99270532,-3.975819592
T23-45-2021,0,70,-2.268945943,0.92411375,-3.991962231
T23-45-2021,0,71,-2.253900778,0.85552218,-4.005890731
T23-45-2021,0,72,-2.238855613,0.786930609,-4.016648768
T23-45-2021,0,73,-2.223810448,0.718339039,-4.015671952
T23-45-2021,0,74,-2.208765283,0.649747469,-4.010124435
T23-45-2021,0,75,-2.193720118,0.581155899,-4.012596554
