site,transect,point,x,y,z
M12-55-2021,0,0,5.376371769,8.245058976,-6.500916887
M12-55-2022,0,1,5.39497243,8.145776269,-6.483413145
M12-55-2023,0,2,5.413573091,8.046493561,-6.483413145
M12-55-2024,0,3,5.432173752,7.947210854,-6.206973039
M12-55-2025,0,4,5.450774413,7.847928147,-6.206973039
M12-55-2026,0,5,5.469375074,7.74864544,-6.180284208
M12-55-2027,0,6,5.487975735,7.649362733,-5.989365201
M12-55-2028,0,7,5.506576395,7.550080026,-6.054446324
M12-55-2029,0,8,5.525177056,7.450797319,-6.044288038
M12-55-2030,0,9,5.543777717,7.351514612,-6.062160817
M12-55-2031,0,10,5.562378378,7.252231905,-6.067144218
M12-55-2032,0,11,5.580979039,7.152949198,-6.134420994
M12-55-2033,0,12,5.5995797,7.053666491,-6.124610341
M12-55-2034,0,13,5.618180361,6.954383784,-6.190990686
M12-55-2035,0,14,5.636781022,6.855101077,-6.309050517
M12-55-2036,0,15,5.655381683,6.75581837,-6.315952933
M12-55-2037,0,16,5.673982344,6.656535663,-6.344260459
M12-55-2038,0,17,5.692583004,6.557252956,-6.364093905
M12-55-2039,0,18,5.711183665,6.457970249,-6.367099471
M12-55-2040,0,19,5.729784326,6.358687542,-6.344872612
M12-55-2041,0,20,5.748384987,6.259404835,-6.327688483
M12-55-2042,0,21,5.766985648,6.160122127,-6.343404043
M12-55-2043,0,22,5.785586309,6.06083942,-6.361351247
M12-55-2044,0,23,5.80418697,5.961556713,-6.367128274
M12-55-2045,0,24,5.822787631,5.862274006,-6.321797717
M12-55-2046,0,25,5.841388292,5.762991299,-6.29528121
M12-55-2047,0,26,5.859988953,5.663708592,-6.153435461
M12-55-2048,0,27,5.878589614,5.564425885,-6.150642453
M12-55-2049,0,28,5.897190274,5.465143178,-6.171509244
M12-55-2050,0,29,5.915790935,5.365860471,-6.161286962
M12-55-2051,0,30,5.934391596,5.266577764,-6.133813975
M12-55-2052,0,31,5.952992257,5.167295057,-6.10405603
M12-55-2053,0,32,5.971592918,5.06801235,-6.071526941
M12-55-2054,0,33,5.990193579,4.968729643,-5.958998975
M12-55-2055,0,34,6.00879424,4.869446936,-5.950637231
M12-55-2056,0,35,6.027394901,4.770164229,-5.780414443
M12-55-2057,0,36,6.045995562,4.670881522,-6.15105021
M12-55-2058,0,37,6.064596223,4.571598815,-6.060717702
M12-55-2059,0,38,6.083196884,4.472316108,-6.02572396
M12-55-2060,0,39,6.101797544,4.3730334,-5.982264204
M12-55-2061,0,40,6.120398205,4.273750693,-5.982264204
M12-55-2062,0,41,6.138998866,4.174467986,-5.959964906
M12-55-2063,0,42,6.157599527,4.075185279,-5.679450785
M12-55-2064,0,43,6.176200188,3.975902572,-5.663601485
M12-55-2065,0,44,6.194800849,3.876619865,-5.658691203
M12-55-2066,0,45,6.21340151,3.777337158,-5.658691203
M12-55-2067,0,46,6.232002171,3.678054451,-5.670978269
M12-55-2068,0,47,6.250602832,3.578771744,-5.680018704
M12-55-2069,0,48,6.269203493,3.479489037,-5.815478617
M12-55-2070,0,49,6.287804154,3.38020633,-5.825289347
M12-55-2071,0,50,6.306404814,3.280923623,-5.977802273
M12-55-2072,0,51,6.325005475,3.181640916,-5.950679672
M12-55-2073,0,52,6.343606136,3.082358209,-5.922558682
M12-55-2074,0,53,6.362206797,2.983075502,-5.945222286
M12-55-2075,0,54,6.380807458,2.883792795,-5.979398241
M12-55-2076,0,55,6.399408119,2.784510088,-6.049579035
M12-55-2077,0,56,6.41800878,2.685227381,-6.04074123
M12-55-2078,0,57,6.436609441,2.585944674,-6.017621409
M12-55-2079,0,58,6.455210102,2.486661966,-6.007270616
M12-55-2080,0,59,6.473810763,2.387379259,-6.082628451
M12-55-2081,0,60,6.492411424,2.288096552,-6.091528172
M12-55-2082,0,61,6.511012084,2.188813845,-6.178819165
M12-55-2083,0,62,6.529612745,2.089531138,-6.181458539
M12-55-2084,0,63,6.548213406,1.990248431,-6.194217389
M12-55-2085,0,64,6.566814067,1.890965724,-6.203822239
M12-55-2086,0,65,6.585414728,1.791683017,-6.219213722
M12-55-2087,0,66,6.604015389,1.69240031,-6.09282619
M12-55-2088,0,67,6.62261605,1.593117603,-5.986916932
M12-55-2089,0,68,6.641216711,1.493834896,-5.979673652
M12-55-2090,0,69,6.659817372,1.394552189,-5.5586212
M12-55-2091,0,70,6.678418033,1.295269482,-5.5586212
M12-55-2092,0,71,6.697018694,1.195986775,-5.575009501
M12-55-2093,0,72,6.715619354,1.096704068,-5.671775914
M12-55-2094,0,73,6.734220015,0.997421361,-6.28612657
M12-55-2095,0,74,6.752820676,0.898138654,-6.301915103
M12-55-2096,0,75,6.771421337,0.798855947,-6.350591501
M12-55-2097,0,76,6.790021998,0.69957324,-6.287858883
M12-55-2098,0,77,6.808622659,0.600290532,-6.262434037
M12-55-2099,0,78,6.82722332,0.501007825,-6.266062452
M12-55-2100,0,79,6.845823981,0.401725118,-6.268461006
M12-55-2101,0,80,6.864424642,0.302442411,-6.225247272
M12-55-2102,0,81,6.883025303,0.203159704,-6.025886171
M12-55-2103,0,82,6.901625964,0.103876997,-6.005100992
M12-55-2104,0,83,6.920226624,0.00459429,-6.01079551
M12-55-2105,0,84,6.938827285,-0.094688417,-6.0118269
M12-55-2106,0,85,6.957427946,-0.193971124,-6.024774206
M12-55-2107,0,86,6.976028607,-0.293253831,-6.008235501
M12-55-2108,0,87,6.994629268,-0.392536538,-6.008132585
M12-55-2109,0,88,7.013229929,-0.491819245,-6.00821267
M12-55-2110,0,89,7.03183059,-0.591101952,-6.0372573
M12-55-2111,0,90,7.050431251,-0.690384659,-6.098202729
M12-55-2112,0,91,7.069031912,-0.789667366,-6.132623245
M12-55-2113,0,92,7.087632573,-0.888950073,-6.249022574
M12-55-2114,0,93,7.106233234,-0.98823278,-6.249318687
M12-55-2115,0,94,7.124833894,-1.087515487,-6.236393361
M12-55-2116,0,95,7.143434555,-1.186798194,-6.275816528
M12-55-2117,0,96,7.162035216,-1.286080902,-6.219451345
M12-55-2118,0,97,7.180635877,-1.385363609,-6.21630009
M12-55-2119,0,98,7.199236538,-1.484646316,-6.227827847
M12-55-2120,0,99,7.217837199,-1.583929023,-6.206546425
M12-55-2121,1,0,4.908324722,8.157370146,-6.508395957
M12-55-2122,1,1,4.926925382,8.058087439,-6.525060225
M12-55-2123,1,2,4.945526043,7.958804731,-6.500916111
M12-55-2124,1,3,4.964126704,7.859522024,-6.463609446
M12-55-2125,1,4,4.982727365,7.760239317,-6.435808074
M12-55-2126,1,5,5.001328026,7.66095661,-6.450380359
M12-55-2127,1,6,5.019928687,7.561673903,-6.450380359
M12-55-2128,1,7,5.038529348,7.462391196,-6.450978042
M12-55-2129,1,8,5.057130009,7.363108489,-6.43596618
M12-55-2130,1,9,5.07573067,7.263825782,-6.425795974
M12-55-2131,1,10,5.094331331,7.164543075,-6.417888064
M12-55-2132,1,11,5.112931992,7.065260368,-6.383249785
M12-55-2133,1,12,5.131532652,6.965977661,-6.375271713
M12-55-2134,1,13,5.150133313,6.866694954,-6.366884085
M12-55-2135,1,14,5.168733974,6.767412247,-6.285684916
M12-55-2136,1,15,5.187334635,6.66812954,-6.285684916
M12-55-2137,1,16,5.205935296,6.568846833,-6.290863588
M12-55-2138,1,17,5.224535957,6.469564126,-6.143069032
M12-55-2139,1,18,5.243136618,6.370281419,-6.164711347
M12-55-2140,1,19,5.261737279,6.270998712,-6.257907739
M12-55-2141,1,20,5.28033794,6.171716005,-6.162754975
M12-55-2142,1,21,5.298938601,6.072433297,-6.095825768
M12-55-2143,1,22,5.317539261,5.97315059,-6.095825768
M12-55-2144,1,23,5.336139922,5.873867883,-6.139817121
M12-55-2145,1,24,5.354740583,5.774585176,-6.292928351
M12-55-2146,1,25,5.373341244,5.675302469,-6.19743004
M12-55-2147,1,26,5.391941905,5.576019762,-6.103314735
M12-55-2148,1,27,5.410542566,5.476737055,-6.092926899
M12-55-2149,1,28,5.429143227,5.377454348,-6.092794934
M12-55-2150,1,29,5.447743888,5.278171641,-6.147381161
M12-55-2151,1,30,5.466344549,5.178888934,-6.052999646
M12-55-2152,1,31,5.48494521,5.079606227,-6.018667051
M12-55-2153,1,32,5.503545871,4.98032352,-6.018667051
M12-55-2154,1,33,5.522146531,4.881040813,-6.049239564
M12-55-2155,1,34,5.540747192,4.781758106,-6.127219307
M12-55-2156,1,35,5.559347853,4.682475399,-6.175065567
M12-55-2157,1,36,5.577948514,4.583192692,-6.124461344
M12-55-2158,1,37,5.596549175,4.483909985,-6.041513744
M12-55-2159,1,38,5.615149836,4.384627278,-6.041513744
M12-55-2160,1,39,5.633750497,4.28534457,-5.992360991
M12-55-2161,1,40,5.652351158,4.186061863,-5.927370076
M12-55-2162,1,41,5.670951819,4.086779156,-5.66377193
M12-55-2163,1,42,5.68955248,3.987496449,-5.610930608
M12-55-2164,1,43,5.708153141,3.888213742,-5.609476765
M12-55-2165,1,44,5.726753801,3.788931035,-5.567790138
M12-55-2166,1,45,5.745354462,3.689648328,-5.567790138
M12-55-2167,1,46,5.763955123,3.590365621,-5.599305549
M12-55-2168,1,47,5.782555784,3.491082914,-5.674376991
M12-55-2169,1,48,5.801156445,3.391800207,-5.796701206
M12-55-2170,1,49,5.819757106,3.2925175,-5.843973724
M12-55-2171,1,50,5.838357767,3.193234793,-5.833721684
M12-55-2172,1,51,5.856958428,3.093952086,-5.830007845
M12-55-2173,1,52,5.875559089,2.994669379,-5.789095708
M12-55-2174,1,53,5.89415975,2.895386672,-5.763529579
M12-55-2175,1,54,5.912760411,2.796103965,-5.755468793
M12-55-2176,1,55,5.931361071,2.696821258,-5.756478227
M12-55-2177,1,56,5.949961732,2.597538551,-5.825012786
M12-55-2178,1,57,5.968562393,2.498255844,-5.89945586
M12-55-2179,1,58,5.987163054,2.398973136,-5.92637622
M12-55-2180,1,59,6.005763715,2.299690429,-6.144244586
M12-55-2181,1,60,6.024364376,2.200407722,-6.215675225
M12-55-2182,1,61,6.042965037,2.101125015,-6.243734952
M12-55-2183,1,62,6.061565698,2.001842308,-6.22190023
M12-55-2184,1,63,6.080166359,1.902559601,-6.217011497
M12-55-2185,1,64,6.09876702,1.803276894,-5.813087316
M12-55-2186,1,65,6.117367681,1.703994187,-5.766992652
M12-55-2187,1,66,6.135968341,1.60471148,-5.748224088
M12-55-2188,1,67,6.154569002,1.505428773,-5.747848817
M12-55-2189,1,68,6.173169663,1.406146066,-5.877267245
M12-55-2190,1,69,6.191770324,1.306863359,-5.873979037
M12-55-2191,1,70,6.210370985,1.207580652,-5.873979037
M12-55-2192,1,71,6.228971646,1.108297945,-5.922003639
M12-55-2193,1,72,6.247572307,1.009015238,-5.922003639
M12-55-2194,1,73,6.266172968,0.909732531,-6.270282054
M12-55-2195,1,74,6.284773629,0.810449824,-6.291436178
M12-55-2196,1,75,6.30337429,0.711167117,-6.15871626
M12-55-2197,1,76,6.321974951,0.61188441,-6.142839169
M12-55-2198,1,77,6.340575611,0.512601702,-6.124641553
M12-55-2199,1,78,6.359176272,0.413318995,-6.066844998
M12-55-2200,1,79,6.377776933,0.314036288,-6.065419804
M12-55-2201,1,80,6.396377594,0.214753581,-6.126286262
M12-55-2202,1,81,6.414978255,0.115470874,-6.234597431
M12-55-2203,1,82,6.433578916,0.016188167,-6.246900517
M12-55-2204,1,83,6.452179577,-0.08309454,-6.248715133
M12-55-2205,1,84,6.470780238,-0.182377247,-6.26715725
M12-55-2206,1,85,6.489380899,-0.281659954,-6.205644504
M12-55-2207,1,86,6.50798156,-0.380942661,-6.185011716
M12-55-2208,1,87,6.526582221,-0.480225368,-6.146208973
M12-55-2209,1,88,6.545182881,-0.579508075,-5.958250337
M12-55-2210,1,89,6.563783542,-0.678790782,-5.958250337
M12-55-2211,1,90,6.582384203,-0.778073489,-5.968978569
M12-55-2212,1,91,6.600984864,-0.877356196,-6.18824858
M12-55-2213,1,92,6.619585525,-0.976638903,-6.18824858
M12-55-2214,1,93,6.638186186,-1.07592161,-6.222379244
M12-55-2215,1,94,6.656786847,-1.175204317,-6.175014593
M12-55-2216,1,95,6.675387508,-1.274487024,-6.109047589
M12-55-2217,1,96,6.693988169,-1.373769732,-6.107181704
M12-55-2218,1,97,6.71258883,-1.473052439,-6.149911349
M12-55-2219,1,98,6.731189491,-1.572335146,-6.202974408
M12-55-2220,1,99,6.749790151,-1.671617853,-6.24285118
M12-55-2221,2,0,4.440277674,8.069681316,-6.47563194
M12-55-2222,2,1,4.458878335,7.970398609,-6.47563194
M12-55-2223,2,2,4.477478996,7.871115901,-6.528794089
M12-55-2224,2,3,4.496079657,7.771833194,-6.548421284
M12-55-2225,2,4,4.514680318,7.672550487,-6.530189606
M12-55-2226,2,5,4.533280979,7.57326778,-6.329686334
M12-55-2227,2,6,4.551881639,7.473985073,-6.374353279
M12-55-2228,2,7,4.5704823,7.374702366,-6.521813391
M12-55-2229,2,8,4.589082961,7.275419659,-6.538573987
M12-55-2230,2,9,4.607683622,7.176136952,-6.528693947
M12-55-2231,2,10,4.626284283,7.076854245,-6.100969465
M12-55-2232,2,11,4.644884944,6.977571538,-5.89503045
M12-55-2233,2,12,4.663485605,6.878288831,-5.803093081
M12-55-2234,2,13,4.682086266,6.779006124,-5.834783348
M12-55-2235,2,14,4.700686927,6.679723417,-5.855853505
M12-55-2236,2,15,4.719287588,6.58044071,-6.021714185
M12-55-2237,2,16,4.737888249,6.481158003,-6.177110325
M12-55-2238,2,17,4.756488909,6.381875296,-6.18264395
M12-55-2239,2,18,4.77508957,6.282592589,-6.195872572
M12-55-2240,2,19,4.793690231,6.183309882,-6.200450927
M12-55-2241,2,20,4.812290892,6.084027175,-6.209171835
M12-55-2242,2,21,4.830891553,5.984744467,-6.240070238
M12-55-2243,2,22,4.849492214,5.88546176,-6.234331411
M12-55-2244,2,23,4.868092875,5.786179053,-6.19392165
M12-55-2245,2,24,4.886693536,5.686896346,-5.787128318
M12-55-2246,2,25,4.905294197,5.587613639,-6.13192676
M12-55-2247,2,26,4.923894858,5.488330932,-6.088854703
M12-55-2248,2,27,4.942495519,5.389048225,-5.708044448
M12-55-2249,2,28,4.961096179,5.289765518,-5.708044448
M12-55-2250,2,29,4.97969684,5.190482811,-5.856723062
M12-55-2251,2,30,4.998297501,5.091200104,-5.857513535
M12-55-2252,2,31,5.016898162,4.991917397,-5.79119721
M12-55-2253,2,32,5.035498823,4.89263469,-5.739643629
M12-55-2254,2,33,5.054099484,4.793351983,-5.739643629
M12-55-2255,2,34,5.072700145,4.694069276,-5.727630941
M12-55-2256,2,35,5.091300806,4.594786569,-5.727630941
M12-55-2257,2,36,5.109901467,4.495503862,-5.730298754
M12-55-2258,2,37,5.128502128,4.396221155,-5.793851152
M12-55-2259,2,38,5.147102788,4.296938448,-5.79596398
M12-55-2260,2,39,5.165703449,4.19765574,-5.855413021
M12-55-2261,2,40,5.18430411,4.098373033,-6.172877229
M12-55-2262,2,41,5.202904771,3.999090326,-6.211028274
M12-55-2263,2,42,5.221505432,3.899807619,-6.242091357
M12-55-2264,2,43,5.240106093,3.800524912,-6.25527791
M12-55-2265,2,44,5.258706754,3.701242205,-6.251609276
M12-55-2266,2,45,5.277307415,3.601959498,-6.251097516
M12-55-2267,2,46,5.295908076,3.502676791,-6.225277482
M12-55-2268,2,47,5.314508737,3.403394084,-6.220074305
M12-55-2269,2,48,5.333109398,3.304111377,-6.239064705
M12-55-2270,2,49,5.351710058,3.20482867,-6.265421476
M12-55-2271,2,50,5.370310719,3.105545963,-6.044347241
M12-55-2272,2,51,5.38891138,3.006263256,-5.894595642
M12-55-2273,2,52,5.407512041,2.906980549,-5.861858394
M12-55-2274,2,53,5.426112702,2.807697842,-5.80228357
M12-55-2275,2,54,5.444713363,2.708415135,-5.802548704
M12-55-2276,2,55,5.463314024,2.609132428,-5.871368726
M12-55-2277,2,56,5.481914685,2.509849721,-6.104158849
M12-55-2278,2,57,5.500515346,2.410567014,-6.197578553
M12-55-2279,2,58,5.519116007,2.311284306,-6.22427748
M12-55-2280,2,59,5.537716668,2.212001599,-6.272623571
M12-55-2281,2,60,5.556317328,2.112718892,-6.25580407
M12-55-2282,2,61,5.574917989,2.013436185,-6.273843995
M12-55-2283,2,62,5.59351865,1.914153478,-6.318168626
M12-55-2284,2,63,5.612119311,1.814870771,-6.378594693
M12-55-2285,2,64,5.630719972,1.715588064,-6.360279789
M12-55-2286,2,65,5.649320633,1.616305357,-6.339925638
M12-55-2287,2,66,5.667921294,1.51702265,-6.312472067
M12-55-2288,2,67,5.686521955,1.417739943,-6.080431616
M12-55-2289,2,68,5.705122616,1.318457236,-6.24817779
M12-55-2290,2,69,5.723723277,1.219174529,-6.270937201
M12-55-2291,2,70,5.742323938,1.119891822,-6.300161619
M12-55-2292,2,71,5.760924598,1.020609115,-6.361056045
M12-55-2293,2,72,5.779525259,0.921326408,-5.974474608
M12-55-2294,2,73,5.79812592,0.822043701,-5.971676346
M12-55-2295,2,74,5.816726581,0.722760994,-6.412969294
M12-55-2296,2,75,5.835327242,0.623478287,-6.332941475
