site,transect,point,x,y,z
T04-08-2021,0,0,-1.419979312,-6.985440962,-6.770297044
T04-08-2021,0,1,-1.443051316,-6.887101127,-6.74613702
T04-08-2021,0,2,-1.46612332,-6.788761292,-6.654211413
T04-08-2021,0,3,-1.489195324,-6.690421457,-6.654211413
T04-08-2021,0,4,-1.512267327,-6.592081622,-6.195030557
T04-08-2021,0,5,-1.535339331,-6.493741787,-6.195030557
T04-08-2021,0,6,-1.558411335,-6.395401952,-6.378530084
T04-08-2021,0,7,-1.581483339,-6.297062117,-6.276792395
T04-08-2021,0,8,-1.604555342,-6.198722282,-6.23278858
T04-08-2021,0,9,-1.627627346,-6.100382447,-6.242345816
T04-08-2021,0,10,-1.65069935,-6.002042612,-5.978700068
T04-08-2021,0,11,-1.673771354,-5.903702777,-5.978700068
T04-08-2021,0,12,-1.696843358,-5.805362942,-6.578565984
T04-08-2021,0,13,-1.719915361,-5.707023107,-6.578565984
T04-08-2021,0,14,-1.742987365,-5.608683272,-6.585244805
T04-08-2021,0,15,-1.766059369,-5.510343437,-6.723107275
T04-08-2021,0,16,-1.789131373,-5.412003602,-6.723107275
T04-08-2021,0,17,-1.812203376,-5.313663767,-6.772082104
T04-08-2021,0,18,-1.83527538,-5.215323932,-6.782337792
T04-08-2021,0,19,-1.858347384,-5.116984097,-6.7856965
T04-08-2021,0,20,-1.881419388,-5.018644262,-6.808342825
T04-08-2021,0,21,-1.904491391,-4.920304427,-6.77583013
T04-08-2021,0,22,-1.927563395,-4.821964592,-6.789422075
T04-08-2021,0,23,-1.950635399,-4.723624757,-6.799201892
T04-08-2021,0,24,-1.973707403,-4.625284922,-6.829053052
T04-08-2021,0,25,-1.996779407,-4.526945087,-6.824240294
T04-08-2021,0,26,-2.01985141,-4.428605252,-6.820483061
T04-08-2021,0,27,-2.042923414,-4.330265417,-6.820483061
T04-08-2021,0,28,-2.065995418,-4.231925582,-6.542424722
T04-08-2021,0,29,-2.089067422,-4.133585747,-6.539339842
T04-08-2021,0,30,-2.112139425,-4.035245912,-6.542166994
T04-08-2021,0,31,-2.135211429,-3.936906077,-6.543959951
T04-08-2021,0,32,-2.158283433,-3.838566242,-6.376063801
T04-08-2021,0,33,-2.181355437,-3.740226407,-6.30812935
T04-08-2021,0,34,-2.204427441,-3.641886572,-6.288139695
T04-08-2021,0,35,-2.227499444,-3.543546737,-6.274930887
T04-08-2021,0,36,-2.250571448,-3.445206902,-6.222440172
T04-08-2021,0,37,-2.273643452,-3.346867067,-5.894248552
T04-08-2021,0,38,-2.296715456,-3.248527232,-5.752266501
T04-08-2021,0,39,-2.319787459,-3.150187397,-5.720910539
T04-08-2021,0,40,-2.342859463,-3.051847562,-5.705547718
T04-08-2021,0,41,-2.365931467,-2.953507727,-5.705547718
T04-08-2021,0,42,-2.389003471,-2.855167892,-5.643234002
T04-08-2021,0,43,-2.412075475,-2.756828057,-5.643234002
T04-08-2021,0,44,-2.435147478,-2.658488222,-5.743098749
T04-08-2021,0,45,-2.458219482,-2.560148387,-5.742596092
T04-08-2021,0,46,-2.481291486,-2.461808552,-5.742596092
T04-08-2021,0,47,-2.50436349,-2.363468717,-5.773278872
T04-08-2021,0,48,-2.527435493,-2.265128882,-5.832487481
T04-08-2021,0,49,-2.550507497,-2.166789047,-5.91557438
T04-08-2021,0,50,-2.573579501,-2.068449212,-5.936184239
T04-08-2021,0,51,-2.596651505,-1.970109377,-5.96057931
T04-08-2021,0,52,-2.619723508,-1.871769542,-6.105785797
T04-08-2021,0,53,-2.642795512,-1.773429707,-6.642835121
T04-08-2021,0,54,-2.665867516,-1.675089872,-6.621388826
T04-08-2021,0,55,-2.68893952,-1.576750037,-5.918217246
